component_id,category,subcategory,component,tracking,method,cost,cost_units,quantity,quantity_units,life_years,life_months,life_display,remaining_life,remaining_life_months,remaining_life_display,service_date,current_cost,replacement_date,future_cost,source_page
0,Asphalt,Overlay,Asphalt Mill and Overlay,Logistical,One Time,3.0,$/SF,20000,SF,15,180,15:00,9:06,114,9:06,,60000.0,2035-07-01,79452.01,60
1,Asphalt,Overlay,Asphalt Mill and Overlay,Logistical,One Time,3.0,$/SF,20000,SF,15,180,15:00,9:06,114,9:06,,60000.0,2035-07-01,79452.01,60
2,Asphalt,Overlay,Asphalt Mill and Overlay,Logistical,One Time,3.0,$/SF,20000,SF,15,180,15:00,9:06,114,9:06,,60000.0,2035-07-01,79452.01,60
3,Asphalt,Overlay,Asphalt Mill and Overlay,Logistical,One Time,3.0,$/SF,20000,SF,15,180,15:00,9:06,114,9:06,,60000.0,2035-07-01,79452.01,60
4,Asphalt,Overlay,Asphalt Mill and Overlay,Logistical,One Time,3.0,$/SF,20000,SF,15,180,15:00,9:06,114,9:06,,60000.0,2035-07-01,79452.01,60
5,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,One Time,50000.0,Allow,1,Allow,3,36,3:00,0:06,6,0:06,,50000.0,2026-07-01,50744.46,59
6,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,One Time,25000.0,Allow,1,Allow,3,36,3:00,3:06,42,3:06,,25000.0,2029-07-01,27724.92,59
7,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,25000.0,Allow,1,Allow,3,36,3:00,12:06,150,12:06,,25000.0,2038-07-01,36174.73,59
8,Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,Fixed,6.0,$/SF,20000,SF,30,360,30:00,25:06,306,25:06,,120000.0,2051-07-01,254994.3,61
9,Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,Fixed,6.0,$/SF,20000,SF,30,360,30:00,26:06,318,26:06,,120000.0,2052-07-01,262644.13,61
10,Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,Fixed,6.0,$/SF,20000,SF,30,360,30:00,27:06,330,27:06,,120000.0,2053-07-01,270523.46,61
11,Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,Fixed,6.0,$/SF,20000,SF,30,360,30:00,28:06,342,28:06,,120000.0,2054-07-01,278639.16,61
12,Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,Fixed,6.0,$/SF,20000,SF,30,360,30:00,29:06,354,29:06,,120000.0,2055-07-01,286998.33,61
13,Asphalt,Top Coat,Asphalt Seal Coat,Logistical,One Time,0.4,$/SF,100000,SF,5,60,5:00,14:06,174,14:06,,40000.0,2040-07-01,61404.44,62
14,Asphalt,Top Coat,Asphalt Seal Coat,Logistical,One Time,0.4,$/SF,100000,SF,5,60,5:00,19:06,234,19:06,,40000.0,2045-07-01,71184.57,62
15,Asphalt,Top Coat,Asphalt Seal Coat,Logistical,Fixed,0.4,$/SF,100000,SF,5,60,5:00,30:06,366,30:06,,40000.0,2056-07-01,98536.09,62
16,Balconies-Decks-Stairways,Railings,Stairway/Balcony Railing,Logistical,Fixed,7500.0,Allow,1,Allow,8,96,8:00,0:06,6,0:06,,7500.0,2026-07-01,7611.67,148
17,Balconies-Decks-Stairways,Railings,Walkway Railing,Logistical,Fixed,3000.0,Allow,1,Allow,8,96,8:00,2:06,30,2:06,,3000.0,2028-07-01,3230.09,154
18,Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Logistical,Fixed,2500.0,Each,23,Each,20,240,20:00,0:06,6,0:06,,57500.0,2026-07-01,58356.13,64
19,Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Logistical,Fixed,2500.0,Each,23,Each,20,240,20:00,1:06,18,1:06,,57500.0,2027-07-01,60106.81,64
20,Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Logistical,Fixed,2500.0,Each,23,Each,20,240,20:00,2:06,30,2:06,,57500.0,2028-07-01,61910.01,64
21,Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Logistical,Fixed,2500.0,Each,23,Each,20,240,20:00,3:06,42,3:06,,57500.0,2029-07-01,63767.32,64
22,Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Logistical,Fixed,2500.0,Each,23,Each,20,240,20:00,4:06,54,4:06,,57500.0,2030-07-01,65680.33,64
23,Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Logistical,Fixed,2500.0,Each,23,Each,20,240,20:00,5:06,66,5:06,,57500.0,2031-07-01,67650.74,64
24,Balconies-Decks-Stairways,Structural,Metal Stairway Flashing/Stringers,Logistical,Fixed,15000.0,Allow,1,Allow,7,84,7:00,2:06,30,2:06,,15000.0,2028-07-01,16150.44,121
25,Balconies-Decks-Stairways,Structural,Wood Balcony Walls,Logistical,Fixed,25000.0,Allow,1,Allow,5,60,5:00,2:06,30,2:06,,25000.0,2028-07-01,26917.4,156
26,Concrete,Major Repairs,Concrete Sidewalks-Stairs-Patios/Grinding-Repairs,Logistical,Fixed,10000.0,Allow,1,Allow,3,36,3:00,0:06,6,0:06,,10000.0,2026-07-01,10148.89,102
27,Concrete,Major Repairs,Curbs-Gutters,Logistical,Adjusted,5000.0,Allow,1,Allow,3,36,3:00,0:06,6,0:06,,5000.0,2026-07-01,5074.45,104
28,Concrete,Pool,Pool Area Concrete Deck,Logistical,Fixed,12.0,$/SF,1592,SF,25,300,25:00,18:06,222,18:06,,19104.0,2044-07-01,33007.53,128
29,Doors-Windows,Renovation,Raise and Replace Windows,Logistical,One Time,17233.0,Allow,1,Allow,30,360,30:00,9:06,114,9:06,,17233.0,2035-07-01,22819.94,Board Plan
30,Doors-Windows,Raised Panel,Clubhouse Bathroom/Interior Doors,Logistical,Fixed,5000.0,Allow,1,Allow,10,120,10:00,10:06,126,10:06,,5000.0,2036-07-01,6819.63,79
31,Doors-Windows,Renovation,Clubhouse/Fitness Windows,Logistical,Fixed,4500.0,Allow,1,Allow,10,120,10:00,10:06,126,10:06,,4500.0,2036-07-01,6137.67,100
32,Doors-Windows,Sliders,Clubhouse Sliding Glass Doors,Logistical,Fixed,4000.0,Allow,1,Allow,10,120,10:00,10:06,126,10:06,,4000.0,2036-07-01,5455.7,95
33,Doors-Windows,Window Treatment,Clubhouse Blinds,Logistical,Fixed,1000.0,Allow,1,Allow,10,120,10:00,10:06,126,10:06,,1000.0,2036-07-01,1363.93,80
