replacement_year,expenditures,component_count
2026,613931.82,29
2027,301788.46,7
2028,521771.14,18
2029,232889.32,17
2030,353531.52,8
2031,354501.67,16
2032,242063.19,11
2033,125892.01,6
2034,367561.96,16
2035,740531.12,19
2036,1420218.15,27
2037,655444.0,8
2038,1005258.17,19
2039,510103.94,11
2040,730528.59,8
2041,128074.29,12
2042,334677.12,7
2043,108866.98,8
2044,450266.58,17
2045,241379.76,5
2046,1604101.0,25
2047,647487.11,16
2048,788984.1,14
2049,328487.33,10
2050,487913.86,16
2051,587549.37,12
2052,325853.82,6
2053,497086.85,13
2054,503408.08,14
2055,527445.54,7
