year,begin_balance,contribution,special_assessment,expenditures,interest,end_balance,funded_balance,percent_funded
2026,620000.0,250000.0,0.0,613931.82,12668.43,268736.61,3284911.06,8.18
2027,268736.61,300000.0,0.0,301788.46,7732.87,274681.02,3446213.64,7.97
2028,274681.02,350000.0,0.0,521771.14,6264.43,109174.31,3400168.36,3.21
2029,109174.31,400000.0,0.0,232889.32,5783.05,282068.04,3652638.38,7.72
2030,282068.04,450000.0,0.0,353531.52,9575.61,388112.14,3797018.37,10.22
2031,388112.14,500000.0,0.0,354501.67,12929.44,546539.9,3956553.07,13.81
2032,546539.9,520000.0,0.0,242063.19,18384.87,842861.58,4247148.53,19.85
2033,842861.58,540000.0,0.0,125892.01,27366.47,1284336.04,4676889.71,27.46
2034,1284336.04,560000.0,0.0,367561.96,36275.68,1513049.77,4887157.69,30.96
2035,1513049.77,580000.0,0.0,740531.12,38431.1,1390949.74,4735651.4,29.37
2036,1390949.74,600000.0,0.0,1420218.15,28506.65,599238.25,3900460.7,15.36
2037,599238.25,610000.0,0.0,655444.0,16621.61,570415.86,3830298.36,14.89
2038,570415.86,620000.0,0.0,1005258.17,12370.08,197527.77,3417349.34,5.78
2039,197527.77,630000.0,0.0,510103.94,8256.16,325679.99,3509309.53,9.28
2040,325679.99,640000.0,0.0,730528.59,9327.71,244479.11,3395536.12,7.2
2041,244479.11,650000.0,0.0,128074.29,13712.49,780117.32,3905444.4,19.98
2042,780117.32,660000.0,0.0,334677.12,25233.32,1130673.52,4237111.67,26.69
2043,1130673.52,661139.0,0.0,108866.98,36475.89,1719421.43,4824526.16,35.64
2044,1719421.43,680973.0,0.0,450266.58,48063.97,1998191.82,5100203.97,39.18
2045,1998191.82,701402.0,0.0,241379.76,57577.4,2515791.47,5606562.04,44.87
2046,2515791.47,722444.0,0.0,1604101.0,56699.55,1690834.02,4755608.44,35.55
2047,1690834.02,744118.0,0.0,647487.11,46139.74,1833604.65,4868248.3,37.66
2048,1833604.65,766441.0,0.0,788984.1,48574.72,1859636.27,4859476.58,38.27
2049,1859636.27,789435.0,0.0,328487.33,54363.66,2374947.59,5337172.27,44.5
2050,2374947.59,813118.0,0.0,487913.86,66050.63,2766202.36,5687357.26,48.64
2051,2766202.36,837511.0,0.0,587549.37,75235.51,3091399.5,5976112.61,51.73
2052,3091399.5,862637.0,0.0,325853.82,86539.48,3714722.16,6569440.73,56.55
2053,3714722.16,888516.0,0.0,497086.85,100864.36,4207015.68,7029128.64,59.85
2054,4207015.68,915171.0,0.0,503408.08,113611.31,4732389.91,7519204.63,62.94
2055,4732389.91,942626.0,0.0,527445.54,127020.42,5274590.79,8023290.71,65.74
