year,annual_contribution,Additional Income,special_assessment
2026,250000,30000,0
2027,300000,30900,0
2028,350000,31827,0
2029,400000,32782,0
2030,450000,33765,0
2031,500000,34778,0
2032,520000,35822,0
2033,540000,36896,0
2034,560000,38003,0
2035,580000,39143,0
2036,600000,40317,0
2037,610000,41527,0
2038,620000,42773,0
2039,630000,44056,0
2040,640000,45378,0
2041,650000,46739,0
2042,660000,48141,0
2043,661139,49585,0
2044,680973,51073,0
2045,701402,52605,0
2046,722444,54183,0
2047,744118,55809,0
2048,766441,57483,0
2049,789435,59208,0
2050,813118,60984,0
2051,837511,62813,0
2052,862637,64698,0
2053,888516,66639,0
2054,915171,68638,0
2055,942626,70697,0
