year,annual_contribution,special_assessment
2026,250000,0
2027,267616.4,0
2028,285232.8,0
2029,302849.2,0
2030,320465.7,0
2031,338082.1,0
2032,355698.5,0
2033,437869.7,0
2034,520040.9,0
2035,602212.1,0
2036,684383.3,0
2037,766554.4,0
2038,848725.6,0
2039,853489.3,0
2040,858252.9,0
2041,863016.6,0
2042,867780.2,0
2043,872543.9,0
2044,877307.6,0
2045,903626.8,0
2046,930735.6,0
2047,958657.7,0
2048,987417.4,0
2049,1017040,0
2050,1047551,0
2051,1078978,0
2052,1111347,0
2053,1144687,0
2054,1179028,0
2055,1214399,0
