year,begin_balance,contribution,special_assessment,expenditures,interest,end_balance,funded_balance,percent_funded
2026,800000.0,250000.0,0.0,313093.32,20367.17,757273.85,3549435.95,21.34
2027,757273.85,267616.4,0.0,233109.89,20363.72,812144.08,3784463.2,21.46
2028,812144.08,285232.8,0.0,468771.86,19526.63,648131.65,3798324.23,17.06
2029,648131.65,302849.2,0.0,332699.03,17042.74,635324.56,3957292.66,16.05
2030,635324.56,320465.7,0.0,627675.52,13873.75,341988.49,3828311.52,8.93
2031,341988.49,338082.1,0.0,460389.79,8445.96,228126.77,3876917.09,5.88
2032,228126.77,355698.5,0.0,351127.95,6949.86,239647.17,4049899.49,5.92
2033,239647.17,437869.7,0.0,113410.15,10849.04,574955.76,4481719.52,12.83
2034,574955.76,520040.9,0.0,354705.65,17925.76,758216.77,4694368.61,16.15
2035,758216.77,602212.1,0.0,628147.58,20821.18,753102.48,4646565.6,16.21
2036,753102.48,684383.3,0.0,1244855.42,15362.27,207992.62,3982366.64,5.22
2037,207992.62,766554.4,0.0,773872.34,7625.12,208299.8,3790031.16,5.5
2038,208299.8,848725.6,0.0,847212.21,7987.02,217800.21,3531701.41,6.17
2039,217800.21,853489.3,0.0,867799.68,8076.92,211566.75,3259361.64,6.49
2040,211566.75,858252.9,0.0,868688.57,7974.99,209106.08,2993022.46,6.99
2041,209106.08,863016.6,0.0,270379.07,14236.18,815979.79,3341435.98,24.42
2042,815979.79,867780.2,0.0,236961.18,29997.64,1476796.46,3750208.21,39.38
2043,1476796.46,872543.9,0.0,92092.41,48289.03,2305536.98,4334739.91,53.19
2044,2305536.98,877307.6,0.0,173821.64,68456.7,3077479.64,4870826.09,63.18
2045,3077479.64,903626.8,0.0,121013.77,88889.46,3948982.14,5486838.17,71.97
2046,3948982.14,930735.6,0.0,1093477.76,101126.21,3887366.18,5144727.37,75.56
2047,3887366.18,958657.7,0.0,523445.99,105911.67,4428489.56,5388963.58,82.18
2048,4428489.56,987417.4,0.0,576583.55,119432.46,4958755.88,5605232.17,88.47
2049,4958755.88,1017040.0,0.0,508754.76,133955.8,5600996.92,5916020.55,94.68
2050,5600996.92,1047551.0,0.0,673589.32,148889.23,6123847.83,6088612.63,100.58
2051,6123847.83,1078978.0,0.0,778795.09,161439.7,6585470.44,6188598.53,106.41
2052,6585470.44,1111347.0,0.0,522836.92,176232.48,7350213.0,6581469.89,111.68
2053,7350213.0,1144687.0,0.0,474543.23,196531.75,8216888.52,7057275.19,116.43
2054,8216888.52,1179028.0,0.0,480188.15,218858.19,9134586.56,7564424.77,120.76
2055,9134586.56,1214399.0,0.0,365683.71,243745.75,10227047.6,8226481.22,124.32
