category,subcategory,component,method,cost,cost_units,quantity,quantity_units,useful_life,remaining_useful_life,notes,B6_category
Balconies-Decks-Stairways,Railings,Stairway/Balcony Railing,Repeating,7500.0,Allow,1,Allow,8,0:06,Source page: 148,Balconies
Balconies-Decks-Stairways,Structural,Stairway/Balcony Railing,Repeating,2500.0,Each,23,Each,20,0:06,Source page: 64,Balconies
Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Repeating,2500.0,Each,23,Each,20,1:06,Source page: 64,Balconies
Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Repeating,2500.0,Each,23,Each,20,2:06,Source page: 64,Balconies
Balconies-Decks-Stairways,Structural,Wood Balcony Walls,Repeating,25000.0,Allow,1,Allow,5,2:06,Source page: 156,Balconies
Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Repeating,2500.0,Each,23,Each,20,3:06,Source page: 64,Balconies
Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Repeating,2500.0,Each,23,Each,20,4:06,Source page: 64,Balconies
Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Repeating,2500.0,Each,23,Each,20,5:06,Source page: 64,Balconies
Roofing,Metal,Carport Roofs,Repeating,12.0,$/SF,4280,SF,25,5:06,Source page: 68,Carports
Roofing,Metal,Carport Roofs,Repeating,12.0,$/SF,4280,SF,25,7:06,Source page: 68,Carports
Roofing,Metal,Carport Roofs,Repeating,12.0,$/SF,4280,SF,25,9:06,Source page: 68,Carports
Roofing,Metal,Carport Roofs,Repeating,12.0,$/SF,4280,SF,25,11:06,Source page: 68,Carports
Roofing,Metal,Carport Roofs,Repeating,12.0,$/SF,4280,SF,25,13:06,Source page: 68,Carports
Structural,Metal,Carport Support Posts-Beams,Repeating,5000.0,Allow,1,Allow,10,2:06,Source page: 69,Carports
Exterior Surfaces,Structural,Chimney Chases Structural Renovations,Repeating,2500.0,Each,23,Each,20,0:06,Source page: 71,Chimney Chases
Exterior Surfaces,Structural,Chimney Chases Structural Renovations,Repeating,2500.0,Each,23,Each,20,1:06,Source page: 71,Chimney Chases
Exterior Surfaces,Structural,Chimney Chases Structural Renovations,Repeating,2500.0,Each,23,Each,20,2:06,Source page: 71,Chimney Chases
Exterior Surfaces,Structural,Chimney Chases Structural Renovations,Repeating,2500.0,Each,23,Each,20,3:06,Source page: 71,Chimney Chases
Exterior Surfaces,Structural,Chimney Chases Structural Renovations,Repeating,2500.0,Each,23,Each,20,4:06,Source page: 71,Chimney Chases
Exterior Surfaces,Structural,Chimney Chases Structural Renovations,Repeating,2500.0,Each,23,Each,20,5:06,Source page: 71,Chimney Chases
Fire Safety,Equipment,Chimney Flues-Caps-Spark Arrestors,Repeating,5000.0,Allow,1,Allow,5,3:06,Source page: 73,Chimney Chases
Doors-Windows,Raised Panel,Clubhouse Bathroom/Interior Doors,Repeating,5000.0,Allow,1,Allow,10,10:06,Source page: 79,Clubhouse
Doors-Windows,Window Treatment,Clubhouse Blinds,Repeating,1000.0,Allow,1,Allow,10,10:06,Source page: 80,Clubhouse
Doors-Windows,Wood and Metal,Clubhouse Glass Doors,Repeating,3500.0,Allow,1,Allow,10,10:06,Source page: 87,Clubhouse
Doors-Windows,Sliders,Clubhouse Sliding Glass Doors,Repeating,4000.0,Allow,1,Allow,10,10:06,Source page: 95,Clubhouse
Doors-Windows,Renovation,Clubhouse/Fitness Windows,Repeating,4500.0,Allow,1,Allow,10,10:06,Source page: 100,Clubhouse
Equipment,Mail,Mail Boxes,Repeating,10000.0,Job,1,Job,25,10:06,Source page: 120,Clubhouse
Flooring,Carpet,Clubhouse Carpet,Repeating,9.0,$/SF,4000,SF,12,8:06,Source page: 81,Clubhouse
Flooring,Tile,Clubhouse Tile Floor,Repeating,16.0,$/SF,1000,SF,20,8:06,Source page: 99,Clubhouse
Plumbing,Equipment,Clubhouse Hot Water Heaters-Expansion,Repeating,1200.0,Each,2,Each,12,5:06,Source page: 88,Clubhouse
Renovation,Shop,Clubhouse Maintenance Shop Remodel,Repeating,2500.0,Allow,1,Allow,10,3:06,Source page: 91,Clubhouse
Renovation,Shower Room,Clubhouse Pool Room-Shower Remodel,Repeating,5000.0,Allow,1,Allow,20,5:06,Source page: 92,Clubhouse
Renovation,Wood,Sauna Remodel,Repeating,2500.0,Job,1,Job,20,5:06,Source page: 145,Clubhouse
Renovation,Bar Service,Clubhouse Bar Remodel,Repeating,5000.0,Job,1,Job,20,8:06,Source page: 76,Clubhouse
Renovation,Bathrooms,Clubhouse Bathroom Remodel,Repeating,6000.0,Each,2,Each,20,8:06,Source page: 78,Clubhouse
Renovation,Kitchenette,Fitness Room Kitchenette Remodel,Repeating,3500.0,Allow,1,Allow,20,8:06,Source page: 111,Clubhouse
Renovation,Laundry,Laundry Room Remodel,Repeating,3500.0,Allow,1,Allow,20,8:06,Source page: 118,Clubhouse
Exterior Surfaces,Roofing,Fascia-Flashing-Soffits,One Time,55000.0,Allow,1,Allow,8,0:06,Source page: 108,Facia-Flashing-Soffits
Exterior Surfaces,Roofing,Fascia-Flashing-Soffits,Repeating,10000.0,Allow,1,Allow,8,0:06,Source page: 108,Facia-Flashing-Soffits
Roofing,Elastomeric,Garage Flat Roof,Repeating,300000.0,Allow,1,Allow,10,10:06,Source page: 112,Garage Roofs
Roofing,Drainage,Gutters-Downspouts,Repeating,25000.0,Allow,1,Allow,5,0:06,Source page: 113,Gutters
Doors-Windows,Renovation,Skylights,One Time,6000.0,Allow,1,Allow,30,0:06,Source page: Maint Com Plan,Other
Doors-Windows,Renovation,Raise and Replace Windows,One Time,17233.0,Allow,1,Allow,30,9:06,Source page: Board Plan,Other
Fences-Walls-Gates,Concrete,Concrete Brick Grouted Wall,One Time,12000.0,Allow,1,Allow,3,0:06,Source page: 101,Other
Fences-Walls-Gates,Concrete,Concrete Brick Grouted Wall,Repeating,2500.0,Allow,1,Allow,3,0:06,Source page: 101,Other
Fences-Walls-Gates,Concrete,Pool Area Wall Repair,Repeating,2500.0,Allow,1,Allow,5,0:06,Source page: 132,Other
Fences-Walls-Gates,Concrete,Stacked Concrete Block Wall,Repeating,1500.0,Allow,1,Allow,5,2:06,Source page: 147,Other
Fences-Walls-Gates,Chain Link,Chain Link Fence,Repeating,2500.0,Allow,1,Allow,10,3:06,Source page: 70,Other
