replacement_year,expenditures,component_count
2026,601204.12,32
2027,257404.54,7
2028,327684.84,18
2029,205164.4,16
2030,210283.29,10
2031,383915.04,17
2032,67381.42,12
2033,144614.79,7
2034,182242.08,17
2035,694184.12,17
2036,1416551.89,29
2037,806522.32,9
2038,896356.3,21
2039,733663.78,12
2040,752930.45,11
2041,404778.04,14
2042,319780.32,8
2043,360485.55,9
2044,460379.28,19
2045,472729.61,5
2046,1324223.47,26
2047,595644.72,17
2048,642629.11,16
2049,298442.76,9
2050,487074.19,18
2051,640673.18,13
2052,338664.29,8
2053,497086.85,13
2054,551828.6,17
2055,479612.48,6
