category,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
Asphalt,50744.46,0.0,0.0,0.0,28556.67,0.0,0.0,0.0,0.0,397260.05,0.0,0.0,36174.73,0.0,61404.44,39529.11,0.0,0.0,43194.52,71184.57,0.0,47199.82,0.0,0.0,51576.52,254994.3,262644.13,326882.51,278639.16,286998.33
Balconies-Decks-Stairways,102503.81,60106.81,92057.5,63767.32,65680.33,67650.74,0.0,49927.42,9642.23,0.0,4091.78,0.0,36174.73,0.0,23026.66,0.0,12214.49,41936.43,5183.34,0.0,105397.66,136879.48,160432.18,115170.86,134098.95,122184.77,6566.1,56359.05,34829.89,0.0
Concrete,15223.34,0.0,0.0,16634.95,0.0,0.0,18177.46,0.0,0.0,19863.0,0.0,0.0,21704.84,0.0,0.0,23717.46,0.0,0.0,58924.24,0.0,0.0,28319.89,0.0,0.0,30945.91,0.0,0.0,33815.43,0.0,0.0
Doors-Windows,6089.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22819.94,24550.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32994.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equipment,0.0,0.0,6330.97,0.0,1713.4,3000.17,908.87,0.0,0.0,0.0,17049.08,2107.27,0.0,0.0,4421.12,0.0,0.0,5032.37,2591.67,0.0,4674.15,1415.99,0.0,0.0,0.0,8499.81,6303.46,0.0,0.0,0.0
Exterior Surfaces,124323.92,60106.81,61910.01,74857.29,65680.33,173538.86,0.0,6240.93,12856.31,0.0,223956.67,210726.59,217048.39,223559.84,230266.64,237174.64,260575.86,276780.43,259167.13,266942.14,105397.66,108559.59,111816.37,115170.86,159887.21,122184.77,0.0,11271.81,0.0,0.0
Fences-Walls-Gates,17253.11,0.0,1615.04,11089.96,0.0,2941.34,3029.58,1872.28,6428.16,3310.5,23868.71,0.0,5787.95,11177.99,0.0,7905.82,0.0,2516.19,12958.35,0.0,4582.51,4719.98,2916.95,15022.29,5157.65,5312.38,0.0,9017.45,11609.96,0.0
Fire Safety,0.0,0.0,0.0,5544.98,0.0,0.0,0.0,0.0,6428.16,0.0,0.0,0.0,0.0,7451.99,0.0,0.0,0.0,0.0,8638.9,0.0,0.0,0.0,0.0,10014.86,0.0,0.0,0.0,0.0,11609.96,0.0
Flooring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75080.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65988.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52012.65,0.0
Landscape,28924.33,18816.05,19380.53,23843.43,20560.8,24118.97,26054.37,22467.35,23141.36,28470.3,24550.67,25287.19,31110.26,30553.18,27632.0,33995.02,29314.78,30194.23,37147.29,32033.05,32994.05,45311.82,35003.39,36053.49,44355.81,38249.15,39396.62,48468.79,41795.87,49028.88
Painting,192860.42,118374.87,127168.54,5544.98,15694.74,0.0,6059.15,0.0,3856.89,82942.6,300106.04,159085.93,178138.85,0.0,21092.42,7905.82,0.0,0.0,13822.24,102569.85,339162.32,223238.15,297742.7,0.0,38661.75,0.0,0.0,11271.81,6965.98,137845.3
Plumbing,11014.6,0.0,11685.38,0.0,12397.02,2823.68,13151.99,0.0,13952.96,0.0,14802.69,0.0,15704.18,0.0,16660.55,0.0,17675.19,4025.9,18751.6,0.0,19893.57,0.0,21105.09,0.0,22390.39,0.0,23753.98,0.0,25200.59,5739.97
Renovation,0.0,0.0,0.0,2772.49,0.0,8824.01,0.0,0.0,30855.15,0.0,0.0,0.0,0.0,25187.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5007.43,0.0,15937.14,0.0,0.0,89164.54,0.0
Roofing,42625.35,0.0,0.0,0.0,0.0,89840.19,0.0,64106.81,0.0,139517.73,770618.28,409315.34,347277.42,434242.64,368426.62,39529.11,0.0,0.0,0.0,0.0,595725.88,0.0,0.0,0.0,0.0,53123.81,0.0,0.0,0.0,0.0
Signage,2029.78,0.0,2153.39,1109.0,0.0,2353.07,0.0,0.0,0.0,0.0,2727.85,0.0,0.0,1490.4,0.0,3162.33,0.0,0.0,0.0,0.0,3666.01,0.0,3889.27,2002.97,0.0,4249.91,0.0,0.0,0.0,0.0
Structural,7611.67,0.0,5383.48,0.0,0.0,8824.01,0.0,0.0,0.0,0.0,10229.45,0.0,7234.95,0.0,0.0,11858.73,0.0,0.0,0.0,0.0,13747.52,0.0,9723.16,0.0,0.0,15937.14,0.0,0.0,0.0,0.0
