year,begin_balance,contribution,special_assessment,expenditures,interest,end_balance,funded_balance,percent_funded
2026,620000.0,250000.0,0.0,601204.12,12801.56,281597.44,3040186.45,9.26
2027,281597.44,300000.0,0.0,257404.54,8522.37,332715.27,3224469.34,10.32
2028,332715.27,350000.0,0.0,327684.84,9762.2,364792.63,3358136.43,10.86
2029,364792.63,400000.0,0.0,205164.4,12537.25,572165.48,3631243.13,15.76
2030,572165.48,450000.0,0.0,210283.29,18410.13,830292.32,3913935.06,21.21
2031,830292.32,500000.0,0.0,383915.04,23803.82,970181.1,4035530.63,24.04
2032,970181.1,520000.0,0.0,67381.42,30925.3,1453724.98,4493834.86,32.35
2033,1453724.98,540000.0,0.0,144614.79,42618.42,1891728.61,4899673.6,38.61
2034,1891728.61,560000.0,0.0,182242.08,53574.18,2323060.71,5292033.72,43.9
2035,2323060.71,580000.0,0.0,694184.12,59399.82,2268276.42,5186660.14,43.73
2036,2268276.42,600000.0,0.0,1416551.89,50731.24,1502455.77,4355278.37,34.5
2037,1502455.77,610000.0,0.0,806522.32,37882.28,1343815.73,4131587.39,32.53
2038,1343815.73,620000.0,0.0,896356.3,33067.3,1100526.73,3823939.57,28.78
2039,1100526.73,630000.0,0.0,733663.78,28753.14,1025616.09,3686520.41,27.82
2040,1025616.09,640000.0,0.0,752930.45,26793.69,939479.33,3540198.63,26.54
2041,939479.33,650000.0,0.0,404778.04,28393.61,1213094.91,3758040.02,32.28
2042,1213094.91,660000.0,0.0,319780.32,36338.47,1589653.06,4084353.12,38.92
2043,1589653.06,670000.0,0.0,360485.55,45571.72,1944739.23,4395287.73,44.25
2044,1944739.23,680973.0,0.0,460379.28,53656.13,2218989.09,4630797.0,47.92
2045,2218989.09,701402.0,0.0,472729.61,60741.07,2508402.55,4870739.43,51.5
2046,2508402.55,722444.0,0.0,1324223.47,59440.26,1966063.33,4263690.68,46.11
2047,1966063.33,744118.0,0.0,595644.72,53642.14,2168178.76,4395580.2,49.33
2048,2168178.76,766441.0,0.0,642629.11,58566.48,2350557.13,4501997.24,52.21
2049,2350557.13,789435.0,0.0,298442.76,67092.56,2908641.92,4979720.19,58.41
2050,2908641.92,813118.0,0.0,487074.19,79555.72,3314241.45,5299701.32,62.54
2051,3314241.45,837511.0,0.0,640673.18,88538.89,3599618.16,5501969.77,65.42
2052,3599618.16,862637.0,0.0,338664.29,99257.55,4222848.42,6046501.68,69.84
2053,4222848.42,888516.0,0.0,497086.85,113714.09,4727991.66,6468283.59,73.09
2054,4727991.66,915171.0,0.0,551828.6,126279.5,5217613.57,6869508.39,75.95
2055,5217613.57,942626.0,0.0,479612.48,139791.32,5820418.4,7379077.93,78.88
