category,subcategory,component,method,cost,cost_units,quantity,quantity_units,useful_life,remaining_useful_life,notes
Asphalt,Overlay,Asphalt Mill and Overlay,One Time,3.0,$/SF,20000,SF,15,9:06,Source page: 60
Asphalt,Overlay,Asphalt Mill and Overlay,One Time,3.0,$/SF,20000,SF,15,9:06,Source page: 60
Asphalt,Overlay,Asphalt Mill and Overlay,One Time,3.0,$/SF,20000,SF,15,9:06,Source page: 60
Asphalt,Overlay,Asphalt Mill and Overlay,One Time,3.0,$/SF,20000,SF,15,9:06,Source page: 60
Asphalt,Overlay,Asphalt Mill and Overlay,One Time,3.0,$/SF,20000,SF,15,9:06,Source page: 60
Asphalt,Crack Repair,Asphalt Crack Seal,One Time,25000.0,Allow,1,Allow,3,0:06,Source page: 59
Asphalt,Crack Repair,Asphalt Crack Seal,One Time,25000.0,Allow,1,Allow,3,3:06,Source page: 59
Asphalt,Crack Repair,Asphalt Crack Seal,Repeating,25000.0,Allow,1,Allow,3,12:06,Source page: 59
Asphalt,Remove and Replace,Asphalt Remove and Replace,Repeating,6.0,$/SF,20000,SF,30,25:06,Source page: 61
Asphalt,Remove and Replace,Asphalt Remove and Replace,Repeating,6.0,$/SF,20000,SF,30,26:06,Source page: 61
Asphalt,Remove and Replace,Asphalt Remove and Replace,Repeating,6.0,$/SF,20000,SF,30,27:06,Source page: 61
Asphalt,Remove and Replace,Asphalt Remove and Replace,Repeating,6.0,$/SF,20000,SF,30,28:06,Source page: 61
Asphalt,Remove and Replace,Asphalt Remove and Replace,Repeating,6.0,$/SF,20000,SF,30,29:06,Source page: 61
Asphalt,Top Coat,Asphalt Seal Coat,One Time,0.4,$/SF,100000,SF,5,14:06,Source page: 62
Asphalt,Top Coat,Asphalt Seal Coat,One Time,0.4,$/SF,100000,SF,5,19:06,Source page: 62
Asphalt,Top Coat,Asphalt Seal Coat,Repeating,0.4,$/SF,100000,SF,5,30:06,Source page: 62
Balconies-Decks-Stairways,Railings,Stairway/Balcony Railing,Repeating,7500.0,Allow,1,Allow,8,0:06,Source page: 148
Balconies-Decks-Stairways,Railings,Walkway Railing,Repeating,3000.0,Allow,1,Allow,8,2:06,Source page: 154
Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Repeating,2500.0,Each,23,Each,20,0:06,Source page: 64
Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Repeating,2500.0,Each,23,Each,20,1:06,Source page: 64
Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Repeating,2500.0,Each,23,Each,20,2:06,Source page: 64
Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Repeating,2500.0,Each,23,Each,20,3:06,Source page: 64
