category,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
Asphalt,25372.23,0.0,0.0,27724.92,0.0,0.0,0.0,0.0,0.0,397260.05,0.0,0.0,36174.73,0.0,61404.44,39529.11,0.0,0.0,43194.52,71184.57,0.0,47199.82,0.0,0.0,51576.52,254994.3,262644.13,326882.51,278639.16,286998.33
Balconies-Decks-Stairways,65967.8,60106.81,108207.94,63767.32,65680.33,67650.74,0.0,31204.64,9642.23,19863.0,4091.78,0.0,36174.73,0.0,0.0,0.0,36643.48,41936.43,5183.34,0.0,105397.66,108559.59,160432.18,145215.43,134098.95,122184.77,6566.1,56359.05,0.0,0.0
Concrete,15223.34,0.0,0.0,16634.95,0.0,0.0,18177.46,0.0,0.0,19863.0,0.0,0.0,21704.84,0.0,0.0,23717.46,0.0,0.0,58924.24,0.0,0.0,28319.89,0.0,0.0,30945.91,0.0,0.0,33815.43,0.0,0.0
Doors-Windows,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24550.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32994.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equipment,0.0,0.0,6330.97,0.0,1713.4,3000.17,908.87,0.0,0.0,0.0,17049.08,2107.27,0.0,0.0,4421.12,0.0,0.0,5032.37,2591.67,0.0,4674.15,1415.99,0.0,0.0,0.0,8499.81,6303.46,0.0,0.0,0.0
Exterior Surfaces,68505.02,60106.81,223414.4,74857.29,408360.33,173538.86,181774.61,6240.93,205700.99,0.0,223956.67,210726.59,217048.39,223559.84,230266.64,0.0,16285.99,25161.86,0.0,0.0,105397.66,108559.59,111816.37,115170.86,159887.21,122184.77,0.0,11271.81,0.0,0.0
Fences-Walls-Gates,5074.44,0.0,1615.04,11089.96,0.0,2941.34,3029.58,1872.28,6428.16,3310.5,23868.71,0.0,5787.95,11177.99,0.0,7905.82,0.0,2516.19,12958.35,0.0,4582.51,4719.98,2916.95,15022.29,5157.65,5312.38,0.0,9017.45,11609.96,0.0
Fire Safety,0.0,0.0,0.0,5544.98,0.0,0.0,0.0,0.0,6428.16,0.0,0.0,0.0,0.0,7451.99,0.0,0.0,0.0,0.0,8638.9,0.0,0.0,0.0,0.0,10014.86,0.0,0.0,0.0,0.0,11609.96,0.0
Flooring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75080.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65988.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52012.65,0.0
Landscape,11671.22,8362.69,8613.57,12753.46,9138.13,12353.62,13936.06,9985.49,10285.05,15228.3,10911.41,11238.75,16640.37,15649.19,12280.89,18183.38,13028.79,13419.66,19869.48,14236.91,14664.02,26431.89,15557.06,16023.77,23725.2,16999.62,17509.61,25925.17,18575.94,25112.35
Painting,106563.37,104533.58,107669.59,116444.66,114226.67,117653.47,127242.22,0.0,3856.89,6621.0,184130.04,140484.39,151933.88,149039.89,153511.09,166022.24,162859.92,0.0,13822.24,0.0,183300.27,198239.24,262525.4,200297.15,216621.37,212495.25,218870.11,11271.81,6965.98,0.0
Plumbing,5074.45,0.0,5383.48,0.0,5711.33,2823.68,6059.15,0.0,6428.16,0.0,6819.63,0.0,7234.95,0.0,7675.55,0.0,8143.0,4025.9,8638.9,0.0,9165.01,0.0,9723.16,0.0,10315.3,0.0,10943.51,0.0,11609.96,5739.97
Renovation,0.0,0.0,0.0,2772.49,0.0,8824.01,0.0,0.0,30855.15,0.0,0.0,0.0,0.0,25187.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5007.43,0.0,15937.14,0.0,0.0,89164.54,0.0
Roofing,0.0,0.0,0.0,0.0,22845.33,60426.82,0.0,64106.81,69424.09,94494.92,736520.13,409315.34,347277.42,434242.64,399128.84,0.0,0.0,0.0,0.0,35592.29,549900.81,0.0,0.0,0.0,41261.21,0.0,0.0,0.0,0.0,47833.06
Signage,2029.78,0.0,2153.39,1109.0,0.0,2353.07,0.0,0.0,0.0,0.0,2727.85,0.0,0.0,1490.4,0.0,3162.33,0.0,0.0,0.0,0.0,3666.01,0.0,3889.27,2002.97,0.0,4249.91,0.0,0.0,0.0,0.0
Structural,7611.67,0.0,5383.48,0.0,0.0,8824.01,0.0,0.0,0.0,0.0,10229.45,0.0,7234.95,0.0,0.0,11858.73,0.0,0.0,0.0,0.0,13747.52,0.0,9723.16,0.0,0.0,15937.14,0.0,0.0,0.0,0.0
