year,begin_balance,contribution,special_assessment,expenditures,interest,end_balance,funded_balance,percent_funded
2026,800000.0,400000.0,0.0,313093.32,22414.02,909320.7,3551660.75,25.6
2027,909320.7,412000.0,0.0,233109.89,26178.96,1114389.77,3786754.74,29.43
2028,1114389.77,424360.0,0.0,468771.86,29068.44,1099046.35,3800684.52,28.92
2029,1099046.35,437091.0,0.0,332699.03,30277.49,1233715.81,3959723.76,31.16
2030,1233715.81,450204.0,0.0,627675.52,30776.51,1087020.8,3830815.56,28.38
2031,1087020.8,463710.0,0.0,460389.79,29000.95,1119341.96,3879496.24,28.85
2032,1119341.96,477621.0,0.0,351127.95,31151.03,1276986.04,4052556.02,31.51
2033,1276986.04,491950.0,0.0,113410.15,37819.7,1693345.58,4484455.74,37.76
2034,1693345.58,506708.0,0.0,424129.74,45299.99,1821223.83,4626729.16,39.36
2035,1821223.83,521909.0,0.0,556640.77,47355.18,1833847.24,4649468.46,39.44
2036,1833847.24,537567.0,0.0,1244855.42,40689.23,1167248.05,3985356.59,29.29
2037,1167248.05,553694.0,0.0,773872.34,28978.59,976048.3,3793110.81,25.73
2038,976048.3,570304.0,0.0,847212.21,23602.95,722743.04,3534873.45,20.45
2039,722743.04,587413.0,0.0,867799.68,17215.37,459571.73,3262628.84,14.09
2040,459571.73,605036.0,0.0,868688.57,10791.35,206710.51,2996387.67,6.9
2041,206710.51,623187.0,0.0,270379.07,10902.97,570421.41,3344902.15,17.05
2042,570421.41,641883.0,0.0,236961.18,20705.34,996048.57,3753778.36,26.53
2043,996048.57,661139.0,0.0,92092.41,33246.9,1598342.06,4338417.17,36.84
2044,1598342.06,680973.0,0.0,173821.64,47893.72,2153387.14,4874613.66,44.18
2045,2153387.14,701402.0,0.0,121013.77,62761.1,2796536.47,5490739.37,50.93
2046,2796536.47,722444.0,0.0,1093477.76,69140.36,2494643.07,5148745.6,48.45
2047,2494643.07,744118.0,0.0,523445.99,67764.32,2783079.4,5393102.36,51.6
2048,2783079.4,766441.0,0.0,576583.55,74807.21,3047744.06,5609495.11,54.33
2049,3047744.06,789435.0,0.0,508754.76,82523.44,3410947.74,5920411.39,57.61
2050,3410947.74,813118.0,0.0,673589.32,90307.28,3640783.7,6093135.19,59.75
2051,3640783.7,837511.0,0.0,778795.09,95351.86,3794851.48,6193256.77,61.27
2052,3794851.48,862637.0,0.0,522836.92,102268.22,4236919.78,6586267.88,64.33
2053,4236919.78,888516.0,0.0,474543.23,114305.74,4765198.29,7062217.11,67.47
2054,4765198.29,915171.0,0.0,480188.15,127969.77,5328150.92,7569514.95,70.39
2055,5328150.92,942626.0,0.0,365683.71,143778.35,6048871.56,8231724.11,73.48
