replacement_year,expenditures,component_count
2026,313093.32,17
2027,233109.89,4
2028,468771.86,14
2029,332699.03,17
2030,627675.52,9
2031,460389.79,16
2032,351127.95,11
2033,113410.15,5
2034,354705.65,15
2035,628147.58,16
2036,1244855.42,21
2037,773872.34,6
2038,847212.21,15
2039,867799.68,12
2040,868688.57,8
2041,270379.07,12
2042,236961.18,6
2043,92092.41,7
2044,173821.64,15
2045,121013.77,3
2046,1093477.76,18
2047,523445.99,13
2048,576583.55,10
2049,508754.76,10
2050,673589.32,16
2051,778795.09,12
2052,522836.92,6
2053,474543.23,12
2054,480188.15,13
2055,365683.71,5
