year,begin_balance,contribution,special_assessment,expenditures,interest,end_balance,funded_balance,percent_funded
2026,800000.0,250000.0,0.0,313093.32,20367.17,757273.85,3549435.95,21.34
2027,757273.85,300000.0,0.0,233109.89,20805.62,844969.58,3784463.2,22.33
2028,844969.58,350000.0,0.0,468771.86,21240.53,747438.24,3798324.23,19.68
2029,747438.24,400000.0,0.0,332699.03,20879.74,835618.95,3957292.66,21.12
2030,835618.95,450000.0,0.0,627675.52,20706.47,678649.9,3828311.52,17.73
2031,678649.9,500000.0,0.0,460389.79,19169.08,737429.19,3876917.09,19.02
2032,737429.19,520000.0,0.0,351127.95,22071.33,928372.57,4049899.49,22.92
2033,928372.57,540000.0,0.0,113410.15,29659.47,1384621.9,4481719.52,30.89
2034,1384621.9,560000.0,0.0,354705.65,38946.24,1628862.48,4694368.61,34.7
2035,1628862.48,580000.0,0.0,628147.58,42535.37,1623250.28,4646565.6,34.93
2036,1623250.28,600000.0,0.0,1244855.42,36215.5,1014610.35,3982366.64,25.48
2037,1014610.35,610000.0,0.0,773872.34,25886.95,876624.96,3790031.16,23.13
2038,876624.96,620000.0,0.0,847212.21,21766.82,671179.57,3531701.41,19.0
2039,671179.57,630000.0,0.0,867799.68,16492.53,449872.43,3259361.64,13.8
2040,449872.43,640000.0,0.0,868688.57,11023.17,232207.03,2993022.46,7.76
2041,232207.03,650000.0,0.0,270379.07,11913.62,623741.58,3341435.98,18.67
2042,623741.58,660000.0,0.0,236961.18,22300.94,1069081.34,3750208.21,28.51
2043,1069081.34,661139.0,0.0,92092.41,35093.79,1673221.72,4334739.91,38.6
2044,1673221.72,680973.0,0.0,173821.64,49787.31,2230160.39,4870826.09,45.79
2045,2230160.39,701402.0,0.0,121013.77,64702.58,2875251.2,5486838.17,52.4
2046,2875251.2,722444.0,0.0,1093477.76,71130.93,2575348.37,5144727.37,50.06
2047,2575348.37,744118.0,0.0,523445.99,69805.23,2865825.62,5388963.58,53.18
2048,2865825.62,766441.0,0.0,576583.55,76899.74,3132582.8,5605232.17,55.89
2049,3132582.8,789435.0,0.0,508754.76,84668.88,3497931.93,5916020.55,59.13
2050,3497931.93,813118.0,0.0,673589.32,92506.97,3729967.58,6088612.63,61.26
2051,3729967.58,837511.0,0.0,778795.09,97607.19,3886290.68,6188598.53,62.8
2052,3886290.68,862637.0,0.0,522836.92,104580.58,4330671.34,6581469.89,65.8
2053,4330671.34,888516.0,0.0,474543.23,116676.58,4861320.68,7057275.19,68.88
2054,4861320.68,915171.0,0.0,480188.15,130400.56,5426704.09,7564424.77,71.74
2055,5426704.09,942626.0,0.0,365683.71,146270.61,6149916.99,8226481.22,74.76
