year,monthly_assessment,gross_assessment,other_income_ex_interest,operating_expenses,annual_contribution,Additional Income,special_assessment
2026,425.0,703800.0,32100.0,482466.77,221333.23,0.0,0
2027,425.0,703800.0,32902.5,500536.25,203263.75,0.0,0
2028,475.0,786600.0,33725.06,519050.5,267549.5,0.0,0
2029,425.0,703800.0,34568.19,538269.87,165530.13,0.0,0
2030,425.0,703800.0,35432.39,557293.1,146506.9,0.0,0
2031,500.0,828000.0,36318.2,574233.67,253766.33,0.0,0
2032,500.0,828000.0,37226.16,591267.95,236732.05,0.0,0
2033,500.0,828000.0,38156.81,608813.79,219186.21,0.0,0
2034,500.0,828000.0,39110.73,626886.72,201113.28,0.0,0
2035,500.0,828000.0,40088.5,645502.77,182497.23,0.0,0
2036,575.0,952200.0,41090.71,664678.42,287521.58,0.0,0
2037,575.0,952200.0,42117.98,684430.68,267769.32,0.0,0
2038,575.0,952200.0,43170.93,704777.07,247422.93,0.0,0
2039,575.0,952200.0,44250.2,725735.67,226464.33,0.0,0
2040,675.0,1117800.0,45356.46,747325.08,370474.92,0.0,0
2041,675.0,1117800.0,46490.37,769564.5,348235.5,0.0,0
2042,675.0,1117800.0,47652.63,792473.71,325326.29,0.0,0
2043,675.0,1117800.0,48843.95,816073.09,301726.91,0.0,0
2044,650.0,1076400.0,50065.04,840383.66,236016.34,0.0,0
2045,650.0,1076400.0,51316.67,865427.07,210972.93,0.0,0
2046,650.0,1076400.0,52599.59,891225.65,185174.35,0.0,0
2047,650.0,1076400.0,53914.58,917802.41,158597.59,0.0,0
2048,650.0,1076400.0,55262.44,945181.06,131218.94,0.0,0
2049,700.0,1159200.0,56644.0,973386.05,185813.95,0.0,0
2050,700.0,1159200.0,58060.1,1002442.58,156757.42,0.0,0
2051,700.0,1159200.0,59511.61,1032376.62,126823.38,0.0,0
2052,800.0,1324800.0,60999.4,1063214.96,261585.04,0.0,0
2053,800.0,1324800.0,62524.38,1094985.17,229814.83,0.0,0
2054,800.0,1324800.0,64087.49,1127715.72,197084.28,0.0,0
2055,800.0,1324800.0,65689.68,1161435.92,163364.08,0.0,0
