category,subcategory,component,B6_category,cost_units,quantity,method,cost,quantity_units,useful_life,remaining_useful_life,notes
Asphalt,Crack Repair,"Asphalt Cracks & Holes, Fill",Paving,Allow,1,One Time,47295.81,Allow,30,0:06,"Extracted from '30 Year' row 53, Jul 2026; scheduled amount $48,000.00"
Asphalt,Crack Repair,"Asphalt Cracks & Holes, Fill",Paving,Allow,1,One Time,109069.17,Allow,30,19:06,"Extracted from '30 Year' row 53, 2045; scheduled amount $194,101.05"
Asphalt,Crack Repair,"Asphalt Cracks & Holes, Fill",Paving,Allow,1,One Time,45918.26,Allow,30,1:06,"Extracted from '30 Year' row 53, Jul 2027; scheduled amount $48,000.00"
Asphalt,Crack Repair,"Asphalt Cracks & Holes, Fill",Paving,Allow,1,One Time,101302.23,Allow,30,6:06,"Extracted from '30 Year' row 53, 2032; scheduled amount $122,761.16"
Asphalt,Overlay,"Asphalt Milling and Overlay, then Replace",Paving,Allow,1,One Time,219673.51,Allow,30,15:06,"Extracted from '30 Year' row 54, 2041; scheduled amount $347,339.89"
Asphalt,Overlay,"Asphalt Milling and Overlay, then Replace",Paving,Allow,1,One Time,213275.25,Allow,30,16:06,"Extracted from '30 Year' row 54, 2042; scheduled amount $347,339.89"
Asphalt,Overlay,"Asphalt Milling and Overlay, then Replace",Paving,Allow,1,One Time,207063.35,Allow,30,17:06,"Extracted from '30 Year' row 54, 2043; scheduled amount $347,339.89"
Balconies-Decks-Stairways,Structural,Balcony and Stairwell Repairs,Balconies,Allow,1,One Time,4747.94,Allow,30,1:09,"Extracted from '30 Year' row 76, Oct 2027; scheduled amount $5,000.00"
Balconies-Decks-Stairways,Structural,Balcony and Stairwell Repairs,Balconies,Allow,1,One Time,4770.98,Allow,30,2:09,"Extracted from '30 Year' row 76, Oct 2028; scheduled amount $5,175.00"
Balconies-Decks-Stairways,Structural,Balcony and Stairwell Repairs,Balconies,Allow,1,One Time,4794.14,Allow,30,3:09,"Extracted from '30 Year' row 76, Oct 2029; scheduled amount $5,356.12"
Balconies-Decks-Stairways,Structural,"Balcony and Stairwell Repairs, 41 Treads",Balconies,Allow,1,One Time,22664.93,Allow,30,0:09,"Extracted from '30 Year' row 76, Oct 2026; scheduled amount $23,173.00"
Chimney Chases,Structural,"Chimney Chase Covers, 76 Covers",Chimney Chases,Allow,1,One Time,24006.21,Allow,30,0:06,"Extracted from '30 Year' row 58, Jul 2026; scheduled amount $24,363.64"
Chimney Chases,Structural,"Chimney Chase Covers, 76 Covers",Chimney Chases,Allow,1,One Time,23947.15,Allow,30,0:07,"Extracted from '30 Year' row 58, Aug 2026; scheduled amount $24,363.64"
Chimney Chases,Structural,"Chimney Chase Covers, 76 Covers",Chimney Chases,Allow,1,One Time,31850.98,Allow,30,0:08,"Extracted from '30 Year' row 58, Sep 2026; scheduled amount $32,484.86"
Chimney Chases,Structural,"Chimney Chase Covers, 76 Covers",Chimney Chases,Allow,1,One Time,31772.62,Allow,30,0:09,"Extracted from '30 Year' row 58, Oct 2026; scheduled amount $32,484.86"
Chimney Chases,Structural,Chimney Chase Flashing & Siding Repairs,Chimney Chases,Allow,1,One Time,23682.6,Allow,30,20:06,"Extracted from '30 Year' row 56, 2046; scheduled amount $43,410.27"
Chimney Chases,Structural,Chimney Chase Flashing & Siding Repairs,Chimney Chases,Allow,1,One Time,23817.56,Allow,30,21:06,"Extracted from '30 Year' row 56, 2047; scheduled amount $44,967.39"
