year,annual_contribution,Additional Income,special_assessment
2026,245322.1867,32100.00,0
2027,240980.53,33281.28,0
2028,219313.3831,34506.03,0
2029,196613.3759,35775.85,0
2030,174590.3563,36863.44,0
2031,276976.7259,37984.09,0
2032,254235.1035,39138.80,0
2033,230524.9855,40328.62,0
2034,205804.0646,41554.61,0
2035,180028.1488,42817.87,0
2036,277351.0755,44119.54,0
2037,249324.623,45460.77,0
2038,220098.4166,46842.78,0
2039,189619.8316,48266.80,0
2040,323433.8914,49734.11,0
2041,290283.1603,51246.03,0
2042,255707.6327,52803.91,0
2043,219644.6157,54409.14,0
2044,140628.608,56063.18,0
2045,101391.1716,57767.50,0
2046,60460.7988,59523.64,0
2047,17762.77249,61333.15,0
2048,-26780.97972,63197.68,0
2049,9547.961829,65118.89,0
2050,-38935.6508,67098.51,0
2051,-89520.90015,69138.30,0
2052,23299.12201,71240.10,0
2053,-31772.86805,73405.80,0
2054,-89238.53711,75637.34,0
2055,-89238.53711,75637.34,0
