category,subcategory,component,method,cost,cost_units,quantity,quantity_units,useful_life,remaining_useful_life,notes,B6_category
Clubhouse,Equipment,Mini Split AC,One Time,26953,Allow,1,Allow,30,1:06,Extracted from '30 Year',"Other"
Landscape,Fire Safety,"Landscaping, Wildfire Defensible Space",One Time,9901.95,Allow,1,Allow,30,0:04,"Extracted from '30 Year' row 55, May 2026; scheduled amount $10,000.00",Other
Balconies-Decks-Stairways,Railings,"Stairwell Guardrail, Replace on Unit 420",One Time,4139.7,Allow,1,Allow,30,0:05,"Extracted from '30 Year' row 75, Jun 2026; scheduled amount $4,191.00",Balconies
Painting,Exterior,Paint 4 Full Buildings and Trim on 2 Stucco Buildings,One Time,184745.57,Allow,1,Allow,30,0:05,"Extracted from '30 Year' row 62, Jun 2026; scheduled amount $187,035.00",Painting
Asphalt,Crack Repair,"Asphalt Cracks & Holes, Fill",One Time,47295.81,Allow,1,Allow,30,0:06,"Extracted from '30 Year' row 53, Jul 2026; scheduled amount $48,000.00",Paving
Fire Safety,Equipment,"Chimney Chase Covers, 76 Covers",One Time,24006.21,Allow,1,Allow,30,0:06,"Extracted from '30 Year' row 58, Jul 2026; scheduled amount $24,363.64",Chimney Chases
Fences-Walls-Gates,Metal,Guardrails on the patio area next to the pool,One Time,17361.5,Allow,1,Allow,30,0:06,"Extracted from '30 Year' row 64, Jul 2026; scheduled amount $17,620.00",Other
Roofing,Drainage,"Gutter work, Bldg 13",One Time,24633.23,Allow,1,Allow,30,0:06,"Extracted from '30 Year' row 72, Jul 2026; scheduled amount $25,000.00",Gutters
Concrete,Major Repairs,"Sidewalks, Replace Concrete",One Time,5897.43,Allow,1,Allow,30,0:07,"Extracted from '30 Year' row 71, Aug 2026; scheduled amount $6,000.00",Sidewalks
Exterior Surfaces,Structural,"Chimney Chase Flashing & Siding Repairs, 13 Bldgs",One Time,17572.02,Allow,1,Allow,30,0:07,"Extracted from '30 Year' row 56, Aug 2026; scheduled amount $17,877.63",Chimney Chases
Fire Safety,Equipment,"Chimney Chase Covers, 76 Covers",One Time,23947.15,Allow,1,Allow,30,0:07,"Extracted from '30 Year' row 58, Aug 2026; scheduled amount $24,363.64",Chimney Chases
Roofing,Skylights,Replace/Repair Skylights,One Time,5710.68,Allow,1,Allow,30,0:07,"Extracted from '30 Year' row 65, Aug 2026; scheduled amount $5,810.00",Sloped Roofs
Exterior Surfaces,Roofing,"Roof Flashing Repairs, 13 Buildings",One Time,18207.62,Allow,1,Allow,30,0:07,"Extracted from '30 Year' row 57, Aug 2026; scheduled amount $18,524.29",Facia-Flashing-Soffits
Exterior Surfaces,Structural,"Chimney Chase Flashing & Siding Repairs, 13 Bldgs",One Time,17528.79,Allow,1,Allow,30,0:08,"Extracted from '30 Year' row 56, Sep 2026; scheduled amount $17,877.63",Chimney Chases
Fences-Walls-Gates,Concrete,Repair retaining wall by building 4,One Time,9971.55,Allow,1,Allow,30,0:08,"Extracted from '30 Year' row 66, Sep 2026; scheduled amount $10,170.00",Other
Fire Safety,Equipment,"Chimney Chase Covers, 76 Covers",One Time,31850.98,Allow,1,Allow,30,0:08,"Extracted from '30 Year' row 58, Sep 2026; scheduled amount $32,484.86",Chimney Chases
Landscape,Fire Safety,"Tree Removal & Grind, 15 Small Trees",One Time,15300.5,Allow,1,Allow,30,0:08,"Extracted from '30 Year' row 74, Sep 2026; scheduled amount $15,605.00",Other
Exterior Surfaces,Roofing,"Roof Flashing Repairs, 13 Buildings",One Time,22703.53,Allow,1,Allow,30,0:08,"Extracted from '30 Year' row 57, Sep 2026; scheduled amount $23,155.36",Facia-Flashing-Soffits
Balconies-Decks-Stairways,Structural,"Balcony and Stairwell Repairs, 41 Treads",One Time,22664.93,Allow,1,Allow,30,0:09,"Extracted from '30 Year' row 76, Oct 2026; scheduled amount $23,173.00",Balconies
Exterior Surfaces,Structural,"Chimney Chase Flashing & Siding Repairs, 13 Bldgs",One Time,18185.09,Allow,1,Allow,30,0:09,"Extracted from '30 Year' row 56, Oct 2026; scheduled amount $18,592.74",Chimney Chases
Fire Safety,Equipment,"Chimney Chase Covers, 76 Covers",One Time,31772.62,Allow,1,Allow,30,0:09,"Extracted from '30 Year' row 58, Oct 2026; scheduled amount $32,484.86",Chimney Chases
Exterior Surfaces,Roofing,"Roof Flashing Repairs, 13 Buildings",One Time,22647.67,Allow,1,Allow,30,0:09,"Extracted from '30 Year' row 57, Oct 2026; scheduled amount $23,155.36",Facia-Flashing-Soffits
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",One Time,14711.22,Allow,1,Allow,30,0:09,"Extracted from '30 Year' row 70, Oct 2026; scheduled amount $15,041.00",Sloped Roofs
Balconies-Decks-Stairways,Structural,"Townhouse Walls, Decks",One Time,46832.09,Allow,1,Allow,30,0:10,"Extracted from '30 Year' row 67, Nov 2026; scheduled amount $48,000.00",Balconies
Roofing,Shingle,"Roof, Install Fiberglass-reinforced asphalt shingles",One Time,393392.61,Allow,1,Allow,30,10:06,"Extracted from '30 Year' row 69, 2036; scheduled amount $536,558.48",Sloped Roofs
Concrete,Major Repairs,"Sidewalks, Replace Concrete",One Time,610.49,Allow,1,Allow,30,10:06,"Extracted from '30 Year' row 71, 2036; scheduled amount $832.66",Sidewalks
Painting,Parking,"Parking Lots, Restripe",One Time,5318.56,Allow,1,Allow,30,10:06,"Extracted from '30 Year' row 63, 2036; scheduled amount $7,254.12",Painting
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",One Time,15110.64,Allow,1,Allow,30,10:06,"Extracted from '30 Year' row 70, 2036; scheduled amount $20,609.80",Sloped Roofs
Roofing,Shingle,"Roof, Install Fiberglass-reinforced asphalt shingles",One Time,316507.58,Allow,1,Allow,30,11:06,"Extracted from '30 Year' row 69, 2037; scheduled amount $444,643.75",Sloped Roofs
Concrete,Major Repairs,"Sidewalks, Replace Concrete",One Time,613.97,Allow,1,Allow,30,11:06,"Extracted from '30 Year' row 71, 2037; scheduled amount $862.53",Sidewalks
Painting,Parking,"Parking Lots, Restripe",One Time,5348.87,Allow,1,Allow,30,11:06,"Extracted from '30 Year' row 63, 2037; scheduled amount $7,514.33",Painting
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",One Time,15139.98,Allow,1,Allow,30,11:06,"Extracted from '30 Year' row 70, 2037; scheduled amount $21,269.31",Sloped Roofs
Concrete,Major Repairs,"Sidewalks, Replace Concrete",One Time,617.46,Allow,1,Allow,30,12:06,"Extracted from '30 Year' row 71, 2038; scheduled amount $893.46",Sidewalks
Painting,Parking,"Parking Lots, Restripe",One Time,5379.35,Allow,1,Allow,30,12:06,"Extracted from '30 Year' row 63, 2038; scheduled amount $7,783.86",Painting
Roofing,Inspection,"Roof Inspection and Repair, All Bldgs",One Time,15169.38,Allow,1,Allow,30,12:06,"Extracted from '30 Year' row 70, 2038; scheduled amount $21,949.93",Sloped Roofs
