year,category,monthly_income_2025_dollars,source_name,source_url,source_note,series_type
1980,Social Security,1450,"Social Security Administration, Annual Statistical Supplement, 2025, OASDI benefits tables",https://www.ssa.gov/policy/docs/statcomps/supplement/2025/5a.html,"Current official benchmark: average retired-worker monthly benefit was $1,975.34 in December 2024. Earlier plotted values are approximate 2025-dollar interpolation/normalization used for visualization.",Approximate visualization series anchored to SSA benefit tables
1980,Pension / retirement accounts,1750,"U.S. Census Bureau, Retirement Income: 2022",https://www.census.gov/content/dam/Census/library/factsheets/2025/demo/p70fs-207.pdf,"Census reports retirement income excluding Social Security, including IRAs, 401(k)s, and pensions. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
1980,Earnings from work,3100,"Social Security Administration, Income of the Population 55 or Older",https://www.ssa.gov/policy/docs/statcomps/income_pop55/index.html,"SSA Income of the Population 55 or Older reports income sources including earnings for aged units. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
1980,Asset income,1400,"Social Security Administration, Income of the Population 55 or Older",https://www.ssa.gov/policy/docs/statcomps/income_pop55/index.html,"SSA Income of the Population 55 or Older reports asset income among income sources. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
1980,Total,7700,Calculated from plotted component series,,"Sum of Social Security, pension/retirement accounts, earnings from work, and asset income for that year.",Calculated total from approximate component series
1980,Total excluding work earnings,4600,Calculated from plotted component series,,"Sum of Social Security, pension/retirement accounts, and asset income; excludes earnings from work.",Calculated total from approximate component series
1985,Social Security,1520,"Social Security Administration, Annual Statistical Supplement, 2025, OASDI benefits tables",https://www.ssa.gov/policy/docs/statcomps/supplement/2025/5a.html,"Current official benchmark: average retired-worker monthly benefit was $1,975.34 in December 2024. Earlier plotted values are approximate 2025-dollar interpolation/normalization used for visualization.",Approximate visualization series anchored to SSA benefit tables
1985,Pension / retirement accounts,1850,"U.S. Census Bureau, Retirement Income: 2022",https://www.census.gov/content/dam/Census/library/factsheets/2025/demo/p70fs-207.pdf,"Census reports retirement income excluding Social Security, including IRAs, 401(k)s, and pensions. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
1985,Earnings from work,3250,"Social Security Administration, Income of the Population 55 or Older",https://www.ssa.gov/policy/docs/statcomps/income_pop55/index.html,"SSA Income of the Population 55 or Older reports income sources including earnings for aged units. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
1985,Asset income,1650,"Social Security Administration, Income of the Population 55 or Older",https://www.ssa.gov/policy/docs/statcomps/income_pop55/index.html,"SSA Income of the Population 55 or Older reports asset income among income sources. The plotted series is an approximate comparable monthly-recipient visualization, not a direct official time series.",Approximate comparable visualization series
