category,subcategory,component,tracking,method,cost,cost_units,quantity,quantity_units,life_years,remaining_life,service_date,source_page
Appliances,Bar Service,Clubhouse Bar Appliances,Logistical,Fixed,2000,Allow,1,Allow,10,3:06,7/1/18,75
Appliances,Coin Operated,Dryer,Logistical,Fixed,800,Each,3,Each,12,2:06,7/1/15,105
Appliances,Coin Operated,Washer,Logistical,Fixed,800,Each,3,Each,15,5:06,7/1/15,155
Appliances,Staff Service,Clubhouse Staff Refrigerator,Logistical,Fixed,1200,Each,1,Each,15,5:06,7/1/15,97
Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,25000,Allow,1,Allow,3,1:06,7/1/23,59
Asphalt,Overlay,Asphalt Mill and Overlay,Logistical,One Time,3,$/SF,20000,SF,25,20:06,N/A,60
Asphalt,Overlay,Asphalt Mill and Overlay,Logistical,One Time,3,$/SF,20000,SF,25,10:06,N/A,60
Asphalt,Overlay,Asphalt Mill and Overlay,Logistical,One Time,3,$/SF,20000,SF,25,10:06,N/A,60
Asphalt,Overlay,Asphalt Mill and Overlay,Logistical,One Time,3,$/SF,20000,SF,25,10:06,N/A,60
Asphalt,Overlay,Asphalt Mill and Overlay,Logistical,One Time,3,$/SF,20000,SF,25,10:06,N/A,60
Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,One Time,6,$/SF,20000,SF,30,0:06,N/A,61
Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,One Time,6,$/SF,20000,SF,30,1:06,N/A,61
Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,One Time,6,$/SF,20000,SF,30,2:06,N/A,61
Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,One Time,6,$/SF,20000,SF,30,3:06,N/A,61
Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,One Time,6,$/SF,20000,SF,30,4:06,N/A,61
Asphalt,Slurry,Asphalt Slurry Seal,Logistical,Fixed,0.75,$/SF,100000,SF,10,6:06,7/1/21,63
Asphalt,Top Coat,Asphalt Seal Coat,Logistical,Fixed,0.4,$/SF,100000,SF,3,1:06,7/1/23,62
Balconies-Decks-Stairways,Railings,Stairway/Balcony Railing,Logistical,Fixed,7500,Allow,1,Allow,8,2:06,7/1/19,148
Balconies-Decks-Stairways,Railings,Walkway Railing,Logistical,Fixed,3000,Allow,1,Allow,8,3:06,7/1/20,154
Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Logistical,Fixed,2500,Each,23,Each,20,0:06,7/1/05,64
Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Logistical,Fixed,2500,Each,23,Each,20,1:06,7/1/06,64
