component_id,category,subcategory,component,tracking,method,cost,cost_units,quantity,quantity_units,life_years,life_months,life_display,remaining_life,remaining_life_months,remaining_life_display,service_date,current_cost,replacement_date,future_cost,source_page
0,Appliances,Bar Service,Clubhouse Bar Appliances,Logistical,Fixed,2000.0,Allow,1,Allow,10,120,10:00,3:06,42,3:06,2018-07-01,2000.0,2028-07-01,2217.99,75
1,Appliances,Coin Operated,Dryer,Logistical,Fixed,800.0,Each,3,Each,12,144,12:00,2:06,30,2:06,2015-07-01,2400.0,2027-07-01,2584.07,105
2,Appliances,Coin Operated,Washer,Logistical,Fixed,800.0,Each,3,Each,15,180,15:00,5:06,66,5:06,2015-07-01,2400.0,2030-07-01,2823.68,155
3,Appliances,Staff Service,Clubhouse Staff Refrigerator,Logistical,Fixed,1200.0,Each,1,Each,15,180,15:00,5:06,66,5:06,2015-07-01,1200.0,2030-07-01,1411.84,97
4,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,25000.0,Allow,1,Allow,3,36,3:00,1:06,18,1:06,2023-07-01,25000.0,2026-07-01,26133.4,59
5,Asphalt,Overlay,Asphalt Mill and Overlay,Logistical,One Time,3.0,$/SF,20000,SF,25,300,25:00,20:06,246,20:06,,60000.0,2045-07-01,109980.16,60
6,Asphalt,Overlay,Asphalt Mill and Overlay,Logistical,One Time,3.0,$/SF,20000,SF,25,300,25:00,10:06,126,10:06,,60000.0,2035-07-01,81835.57,60
7,Asphalt,Overlay,Asphalt Mill and Overlay,Logistical,One Time,3.0,$/SF,20000,SF,25,300,25:00,10:06,126,10:06,,60000.0,2035-07-01,81835.57,60
8,Asphalt,Overlay,Asphalt Mill and Overlay,Logistical,One Time,3.0,$/SF,20000,SF,25,300,25:00,10:06,126,10:06,,60000.0,2035-07-01,81835.57,60
9,Asphalt,Overlay,Asphalt Mill and Overlay,Logistical,One Time,3.0,$/SF,20000,SF,25,300,25:00,10:06,126,10:06,,60000.0,2035-07-01,81835.57,60
10,Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,One Time,6.0,$/SF,20000,SF,30,360,30:00,0:06,6,0:06,,120000.0,2025-07-01,121786.7,61
11,Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,One Time,6.0,$/SF,20000,SF,30,360,30:00,1:06,18,1:06,,120000.0,2026-07-01,125440.3,61
12,Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,One Time,6.0,$/SF,20000,SF,30,360,30:00,2:06,30,2:06,,120000.0,2027-07-01,129203.51,61
13,Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,One Time,6.0,$/SF,20000,SF,30,360,30:00,3:06,42,3:06,,120000.0,2028-07-01,133079.61,61
14,Asphalt,Remove and Replace,Asphalt Remove and Replace,Logistical,One Time,6.0,$/SF,20000,SF,30,360,30:00,4:06,54,4:06,,120000.0,2029-07-01,137072.0,61
15,Asphalt,Slurry,Asphalt Slurry Seal,Logistical,Fixed,0.75,$/SF,100000,SF,10,120,10:00,6:06,78,6:06,2021-07-01,75000.0,2031-07-01,90887.3,63
16,Asphalt,Top Coat,Asphalt Seal Coat,Logistical,Fixed,0.4,$/SF,100000,SF,3,36,3:00,1:06,18,1:06,2023-07-01,40000.0,2026-07-01,41813.43,62
17,Balconies-Decks-Stairways,Railings,Stairway/Balcony Railing,Logistical,Fixed,7500.0,Allow,1,Allow,8,96,8:00,2:06,30,2:06,2019-07-01,7500.0,2027-07-01,8075.22,148
18,Balconies-Decks-Stairways,Railings,Walkway Railing,Logistical,Fixed,3000.0,Allow,1,Allow,8,96,8:00,3:06,42,3:06,2020-07-01,3000.0,2028-07-01,3326.99,154
19,Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Logistical,Fixed,2500.0,Each,23,Each,20,240,20:00,0:06,6,0:06,2005-07-01,57500.0,2025-07-01,58356.13,64
20,Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Logistical,Fixed,2500.0,Each,23,Each,20,240,20:00,1:06,18,1:06,2006-07-01,57500.0,2026-07-01,60106.81,64
21,Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Logistical,Fixed,2500.0,Each,23,Each,20,240,20:00,2:06,30,2:06,2007-07-01,57500.0,2027-07-01,61910.01,64
22,Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Logistical,Fixed,2500.0,Each,23,Each,20,240,20:00,3:06,42,3:06,2008-07-01,57500.0,2028-07-01,63767.32,64
23,Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Logistical,Fixed,2500.0,Each,23,Each,20,240,20:00,4:06,54,4:06,2009-07-01,57500.0,2029-07-01,65680.33,64
24,Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Logistical,Fixed,2500.0,Each,23,Each,20,240,20:00,5:06,66,5:06,2010-07-01,57500.0,2030-07-01,67650.74,64
25,Balconies-Decks-Stairways,Structural,Metal Stairway Flashing/Stringers,Logistical,Fixed,15000.0,Allow,1,Allow,7,84,7:00,2:06,30,2:06,2020-07-01,15000.0,2027-07-01,16150.44,121
26,Balconies-Decks-Stairways,Structural,Wood Balcony Walls,Logistical,Fixed,25000.0,Allow,1,Allow,5,60,5:00,2:06,30,2:06,2022-07-01,25000.0,2027-07-01,26917.4,156
27,Concrete,Major Repairs,Concrete Sidewalks-Stairs-Patios/Grinding-Repairs,Logistical,Fixed,10000.0,Allow,1,Allow,3,36,3:00,0:06,6,0:06,2022-07-01,10000.0,2025-07-01,10148.89,102
