component_id,replacement_date,occurrence,category,subcategory,component,tracking,method,life_years,life_months,current_cost,future_cost,source_page,replacement_year
0,2028-07-01,1,Appliances,Bar Service,Clubhouse Bar Appliances,Logistical,Fixed,10,120,2000.0,2217.99,75,2028
0,2038-07-01,2,Appliances,Bar Service,Clubhouse Bar Appliances,Logistical,Fixed,10,120,2000.0,2980.8,75,2038
0,2048-07-01,3,Appliances,Bar Service,Clubhouse Bar Appliances,Logistical,Fixed,10,120,2000.0,4005.94,75,2048
0,2058-07-01,4,Appliances,Bar Service,Clubhouse Bar Appliances,Logistical,Fixed,10,120,2000.0,5383.65,75,2058
0,2068-07-01,5,Appliances,Bar Service,Clubhouse Bar Appliances,Logistical,Fixed,10,120,2000.0,7235.18,75,2068
0,2078-07-01,6,Appliances,Bar Service,Clubhouse Bar Appliances,Logistical,Fixed,10,120,2000.0,9723.48,75,2078
1,2027-07-01,1,Appliances,Coin Operated,Dryer,Logistical,Fixed,12,144,2400.0,2584.07,105,2027
1,2039-07-01,2,Appliances,Coin Operated,Dryer,Logistical,Fixed,12,144,2400.0,3684.27,105,2039
1,2051-07-01,3,Appliances,Coin Operated,Dryer,Logistical,Fixed,12,144,2400.0,5252.88,105,2051
1,2063-07-01,4,Appliances,Coin Operated,Dryer,Logistical,Fixed,12,144,2400.0,7489.35,105,2063
1,2075-07-01,5,Appliances,Coin Operated,Dryer,Logistical,Fixed,12,144,2400.0,10678.03,105,2075
2,2030-07-01,1,Appliances,Coin Operated,Washer,Logistical,Fixed,15,180,2400.0,2823.68,155,2030
2,2045-07-01,2,Appliances,Coin Operated,Washer,Logistical,Fixed,15,180,2400.0,4399.21,155,2045
2,2060-07-01,3,Appliances,Coin Operated,Washer,Logistical,Fixed,15,180,2400.0,6853.82,155,2060
2,2075-07-01,4,Appliances,Coin Operated,Washer,Logistical,Fixed,15,180,2400.0,10678.03,155,2075
3,2030-07-01,1,Appliances,Staff Service,Clubhouse Staff Refrigerator,Logistical,Fixed,15,180,1200.0,1411.84,97,2030
3,2045-07-01,2,Appliances,Staff Service,Clubhouse Staff Refrigerator,Logistical,Fixed,15,180,1200.0,2199.6,97,2045
3,2060-07-01,3,Appliances,Staff Service,Clubhouse Staff Refrigerator,Logistical,Fixed,15,180,1200.0,3426.91,97,2060
3,2075-07-01,4,Appliances,Staff Service,Clubhouse Staff Refrigerator,Logistical,Fixed,15,180,1200.0,5339.01,97,2075
4,2026-07-01,1,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,26133.4,59,2026
4,2029-07-01,2,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,28556.67,59,2029
4,2032-07-01,3,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,31204.64,59,2032
4,2035-07-01,4,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,34098.15,59,2035
4,2038-07-01,5,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,37259.97,59,2038
4,2041-07-01,6,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,40714.98,59,2041
4,2044-07-01,7,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,44490.36,59,2044
4,2047-07-01,8,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,48615.81,59,2047
4,2050-07-01,9,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,53123.81,59,2050
4,2053-07-01,10,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,58049.82,59,2053
4,2056-07-01,11,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,63432.61,59,2056
4,2059-07-01,12,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,69314.53,59,2059
4,2062-07-01,13,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,75741.85,59,2062
4,2065-07-01,14,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,82765.17,59,2065
4,2068-07-01,15,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,90439.74,59,2068
4,2071-07-01,16,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,98825.94,59,2071
4,2074-07-01,17,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,107989.77,59,2074
4,2077-07-01,18,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,118003.34,59,2077
4,2080-07-01,19,Asphalt,Crack Repair,Asphalt Crack Seal,Logistical,Fixed,3,36,25000.0,128945.44,59,2080
