category,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054
Appliances,0.0,0.0,2584.07,2217.99,0.0,4235.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2980.8,3684.27,0.0,0.0,0.0,0.0,0.0,6598.81,0.0,0.0,4005.94,0.0,0.0,5252.88,0.0,0.0,0.0
Asphalt,121786.7,193387.13,129203.51,133079.61,211319.34,0.0,90887.3,81132.07,0.0,0.0,415997.48,0.0,0.0,96875.93,0.0,0.0,228003.89,0.0,0.0,115674.93,109980.16,0.0,126401.11,0.0,0.0,138121.91,164152.58,0.0,150929.54,0.0
Balconies-Decks-Stairways,58356.13,60106.81,113053.07,67094.31,65680.33,67650.74,0.0,31204.64,0.0,19863.0,10229.45,4214.53,36174.73,0.0,0.0,0.0,24428.99,41936.43,12958.36,5338.84,105397.66,108559.59,160432.18,145215.43,118625.99,122184.77,16415.26,63122.14,0.0,0.0
Concrete,15223.34,0.0,0.0,16634.95,0.0,0.0,18177.46,0.0,0.0,19863.0,0.0,0.0,21704.84,0.0,0.0,23717.46,0.0,0.0,58924.24,0.0,0.0,28319.89,0.0,0.0,30945.91,0.0,0.0,33815.43,0.0,0.0
Doors-Windows,0.0,0.0,4845.13,3881.49,2284.53,31766.44,27872.11,34949.2,29569.52,36415.5,31370.3,2809.69,0.0,5216.4,0.0,6324.66,7328.7,8387.29,3455.56,0.0,0.0,0.0,0.0,16023.77,0.0,12749.72,0.0,11271.81,0.0,0.0
Equipment,0.0,0.0,14675.36,499.05,1713.4,3000.17,908.87,0.0,0.0,9931.5,17049.08,2107.27,0.0,670.68,4421.12,0.0,12214.49,5451.73,2591.67,0.0,4674.15,1415.99,0.0,15923.63,0.0,8499.81,6303.46,0.0,0.0,0.0
Exterior Furniture,0.0,1829.34,0.0,0.0,0.0,2058.94,0.0,0.0,0.0,2317.35,0.0,0.0,0.0,2608.2,0.0,0.0,0.0,2935.55,0.0,0.0,0.0,3303.99,0.0,0.0,0.0,3718.67,0.0,0.0,0.0,4185.39
Exterior Surfaces,58356.13,70560.17,61910.01,63767.32,77103.0,350019.06,181774.61,193468.78,192844.68,211872.02,210317.41,224775.03,217048.39,223559.84,230266.64,0.0,0.0,25161.86,17277.81,0.0,105397.66,108559.59,111816.37,115170.86,118625.99,164683.83,0.0,11271.81,0.0,0.0
Fences-Walls-Gates,5074.44,0.0,1615.04,11089.96,0.0,2941.34,3029.58,1872.28,6428.16,3310.5,23868.71,0.0,5787.95,11177.99,0.0,7905.82,0.0,2516.19,12958.35,0.0,4582.51,4719.98,2916.95,15022.29,5157.65,5312.38,0.0,9017.45,11609.96,0.0
Fire Safety,58051.66,0.0,0.0,66761.6,0.0,2353.07,66893.06,0.0,6428.16,73095.84,2727.85,0.0,79873.8,7451.99,0.0,90442.59,0.0,0.0,104012.4,0.0,3666.01,104217.2,0.0,10014.86,113880.96,4249.91,0.0,124440.78,11609.96,0.0
Flooring,0.0,0.0,0.0,0.0,0.0,26354.37,0.0,0.0,0.0,47671.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67967.74,0.0,0.0,0.0,47598.94,0.0,0.0,0.0,0.0
HVAC,0.0,0.0,0.0,0.0,0.0,5412.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6598.81,0.0,0.0,0.0,0.0,2124.95,0.0,0.0,0.0,0.0
Interior Furniture,0.0,0.0,6998.52,0.0,0.0,6882.73,0.0,1872.28,0.0,0.0,0.0,0.0,2170.48,0.0,7675.55,0.0,0.0,2516.19,0.0,0.0,1924.65,0.0,2916.95,0.0,0.0,10199.77,10943.51,3381.54,0.0,0.0
