category,subcategory,component,method,cost,cost_units,quantity,quantity_units,useful_life,remaining_useful_life,notes,B6_category
Appliances,Bar Service,Clubhouse Bar Appliances,Repeating,2000.0,Allow,1,Allow,10,3:06,Source page: 75,Other
Appliances,Coin Operated,Dryer,Repeating,800.0,Each,3,Each,12,2:06,Source page: 105,Other
Appliances,Coin Operated,Washer,Repeating,800.0,Each,3,Each,15,5:06,Source page: 155,Other
Appliances,Staff Service,Clubhouse Staff Refrigerator,Repeating,1200.0,Each,1,Each,15,5:06,Source page: 97,Other
Asphalt,Crack Repair,Asphalt Crack Seal,Repeating,25000.0,Allow,1,Allow,3,1:06,Source page: 59,Paving
Asphalt,Overlay,Asphalt Mill and Overlay,One Time,3.0,$/SF,20000,SF,25,20:06,Source page: 60,Paving
Asphalt,Overlay,Asphalt Mill and Overlay,One Time,3.0,$/SF,20000,SF,25,10:06,Source page: 60,Paving
Asphalt,Overlay,Asphalt Mill and Overlay,One Time,3.0,$/SF,20000,SF,25,10:06,Source page: 60,Paving
Asphalt,Overlay,Asphalt Mill and Overlay,One Time,3.0,$/SF,20000,SF,25,10:06,Source page: 60,Paving
Asphalt,Overlay,Asphalt Mill and Overlay,One Time,3.0,$/SF,20000,SF,25,10:06,Source page: 60,Paving
Asphalt,Remove and Replace,Asphalt Remove and Replace,One Time,6.0,$/SF,20000,SF,30,0:06,Source page: 61,Paving
Asphalt,Remove and Replace,Asphalt Remove and Replace,One Time,6.0,$/SF,20000,SF,30,1:06,Source page: 61,Paving
Asphalt,Remove and Replace,Asphalt Remove and Replace,One Time,6.0,$/SF,20000,SF,30,2:06,Source page: 61,Paving
Asphalt,Remove and Replace,Asphalt Remove and Replace,One Time,6.0,$/SF,20000,SF,30,3:06,Source page: 61,Paving
Asphalt,Remove and Replace,Asphalt Remove and Replace,One Time,6.0,$/SF,20000,SF,30,4:06,Source page: 61,Paving
Asphalt,Slurry,Asphalt Slurry Seal,Repeating,0.75,$/SF,100000,SF,10,6:06,Source page: 63,Other
Asphalt,Top Coat,Asphalt Seal Coat,Repeating,0.4,$/SF,100000,SF,3,1:06,Source page: 62,Paving
Balconies-Decks-Stairways,Railings,Stairway/Balcony Railing,Repeating,7500.0,Allow,1,Allow,8,2:06,Source page: 148,Balconies
Balconies-Decks-Stairways,Railings,Walkway Railing,Repeating,3000.0,Allow,1,Allow,8,3:06,Source page: 154,Sidewalks
Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Repeating,2500.0,Each,23,Each,20,0:06,Source page: 64,Balconies
Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Repeating,2500.0,Each,23,Each,20,1:06,Source page: 64,Balconies
Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Repeating,2500.0,Each,23,Each,20,2:06,Source page: 64,Balconies
Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Repeating,2500.0,Each,23,Each,20,3:06,Source page: 64,Balconies
Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Repeating,2500.0,Each,23,Each,20,4:06,Source page: 64,Balconies
Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Repeating,2500.0,Each,23,Each,20,5:06,Source page: 64,Balconies
Balconies-Decks-Stairways,Structural,Metal Stairway Flashing/Stringers,Repeating,15000.0,Allow,1,Allow,7,2:06,Source page: 121,Stairways
Balconies-Decks-Stairways,Structural,Wood Balcony Walls,Repeating,25000.0,Allow,1,Allow,5,2:06,Source page: 156,Balconies
Concrete,Major Repairs,Concrete Sidewalks-Stairs-Patios/Grinding-Repairs,Repeating,10000.0,Allow,1,Allow,3,0:06,Source page: 102,Sidewalks
Concrete,Major Repairs,Curbs-Gutters,Repeating,5000.0,Allow,1,Allow,3,0:06,Source page: 104,Sidewalks
Concrete,Pool,Pool Area Concrete Deck,One Time,12.0,$/SF,1592,SF,25,18:06,Source page: 128,Pool
Doors-Windows,Entry Unit,Unit Front and Screen Doors,Repeating,1000.0,Each,23,Each,25,5:06,Source page: 153,Other
Doors-Windows,Entry Unit,Unit Front and Screen Doors,Repeating,1000.0,Each,23,Each,25,6:06,Source page: 153,Other
Doors-Windows,Entry Unit,Unit Front and Screen Doors,Repeating,1000.0,Each,23,Each,25,7:06,Source page: 153,Other
Doors-Windows,Entry Unit,Unit Front and Screen Doors,Repeating,1000.0,Each,23,Each,25,8:06,Source page: 153,Other
Doors-Windows,Entry Unit,Unit Front and Screen Doors,Repeating,1000.0,Each,23,Each,25,9:06,Source page: 153,Other
Doors-Windows,Entry Unit,Unit Front and Screen Doors,Repeating,1000.0,Each,23,Each,25,10:06,Source page: 153,Other
Doors-Windows,Raised Panel,Clubhouse Bathroom/Interior Doors,Repeating,5000.0,Allow,1,Allow,10,7:06,Source page: 79,Clubhouse
Doors-Windows,Renovation,Clubhouse/Fitness Windows,Repeating,4500.0,Allow,1,Allow,7,2:06,Source page: 100,Clubhouse
Doors-Windows,Sliders,Clubhouse Sliding Glass Doors,Repeating,4000.0,Allow,1,Allow,10,5:06,Source page: 95,Clubhouse
Doors-Windows,Window Treatment,Clubhouse Blinds,Repeating,2000.0,Allow,1,Allow,7,4:06,Source page: 80,Clubhouse
Doors-Windows,Wood and Metal,Clubhouse Glass Doors,Repeating,3500.0,Allow,1,Allow,10,3:06,Source page: 87,Clubhouse
Equipment,Audio Visual,"Clubhouse 50"" TV",Repeating,450.0,Each,1,Each,10,3:06,Source page: 74,Other
Equipment,Fitness Machines,Fitness Center Equipment,Repeating,7500.0,Allow,1,Allow,7,2:06,Source page: 110,Other
Equipment,HVAC,Sauna Heater,Repeating,250.0,Each,1,Each,15,2:06,Source page: 144,Other
Equipment,Mail,Mail Boxes,Repeating,10000.0,Job,1,Job,25,10:06,Source page: 120,Clubhouse
Equipment,Pool,Pool Chemical Controller-Rola Chem,Repeating,2500.0,Job,1,Job,15,10:06,Source page: 134,Pool
Equipment,Pool,Pool Cover,Repeating,4.0,$/SF,720,SF,12,2:06,Source page: 136,Pool
Equipment,Pool,Pool Filter Hayward,Repeating,1300.0,Each,1,Each,15,5:06,Source page: 137,Pool
Equipment,Pool,Pool Heater Raypak,Repeating,3000.0,Each,1,Each,15,2:06,Source page: 138,Pool
Equipment,Pool,Pool Misc Pipes Valves,Repeating,1500.0,Allow,1,Allow,7,4:06,Source page: 139,Pool
Equipment,Pool,Pool Pump Hayward,Repeating,750.0,Each,1,Each,15,6:06,Source page: 140,Pool
Equipment,Pool,Pool Rails-Ladder,Repeating,250.0,Each,3,Each,15,5:06,Source page: 141,Pool
Equipment,Pool,Pool Room Compressor,Repeating,500.0,Each,1,Each,15,5:06,Source page: 143,Pool
Exterior Furniture,Patio,Pool Chairs-Tables-Chaise Lounge,Repeating,1750.0,Allow,1,Allow,4,1:06,Source page: 133,Other
