replacement_year,expenditures,component_count
2025,698446.72,23
2026,731473.75,12
2027,782251.87,22
2028,772582.59,26
2029,757322.8,12
2030,754935.23,37
2031,595990.48,16
2032,418591.55,11
2033,314799.67,8
2034,525323.42,21
2035,1002758.52,26
2036,396868.41,9
2037,537122.39,16
2038,594073.01,17
2039,411839.56,6
2040,333941.87,17
2041,472293.78,12
2042,117422.01,13
2043,238095.1,17
2044,140589.52,5
2045,590776.77,22
2046,660986.26,18
2047,624227.04,10
2048,561733.36,17
2049,639961.43,15
2050,926479.3,31
2051,450390.92,8
2052,416380.68,17
2053,231967.08,8
2054,34081.05,4
