year,begin_balance,contribution,special_assessment,expenditures,interest,end_balance,funded_balance,percent_funded
2025,220000.0,60000.0,745200.0,698446.72,13031.15,339784.43,4443227.11,7.65
2026,339784.43,90000.0,745200.0,731473.75,15499.77,459010.44,4206299.34,10.91
2027,459010.44,112500.0,745200.0,782251.87,17726.95,552185.52,3917522.87,14.1
2028,552185.52,140625.0,745200.0,772582.59,19995.03,685422.96,3636762.3,18.85
2029,685422.96,175781.28,745200.0,757322.8,23195.13,872276.57,3370002.81,25.88
2030,872276.57,219726.6,0.0,754935.23,13689.19,350757.13,3107057.64,11.29
2031,350757.13,274658.16,0.0,595990.48,5090.36,34515.17,3009599.35,1.15
2032,34515.17,343322.76,0.0,418591.55,938.91,-39814.71,3101683.39,-1.28
2033,-39814.71,429153.48,0.0,314799.67,1241.97,75781.07,3314665.81,2.29
2034,75781.07,536441.76,0.0,525323.42,2984.4,89883.8,3333561.95,2.7
2035,89883.8,670552.2,500000.0,1002758.52,9982.36,267659.84,2875415.02,9.31
2036,267659.84,670552.2,0.0,396868.41,9393.16,550736.79,3025377.37,18.2
2037,550736.79,670552.2,0.0,537122.39,13934.2,698100.8,3051490.65,22.88
2038,698100.8,670552.2,0.0,594073.01,16432.47,791012.46,3035002.92,26.06
2039,791012.46,670552.2,0.0,411839.56,19831.52,1069556.61,3217813.9,33.24
2040,1069556.61,670552.2,0.0,333941.87,26105.06,1432272.01,3500458.68,40.92
2041,1432272.01,670552.2,0.0,472293.78,32269.46,1662799.89,3666921.73,45.35
2042,1662799.89,670552.2,0.0,117422.01,39889.65,2255819.73,4214757.41,53.52
2043,2255819.73,670552.2,0.0,238095.1,50850.41,2739127.24,4672598.31,58.62
2044,2739127.24,670552.2,0.0,140589.52,61420.92,3330510.84,5259632.86,63.32
2045,3330510.84,670552.2,0.0,590776.77,69593.53,3479879.8,5422842.12,64.17
2046,3479879.8,670552.2,0.0,660986.26,72021.42,3561467.16,5535543.28,64.34
2047,3561467.16,670552.2,0.0,624227.04,73975.55,3681767.87,5707557.31,64.51
2048,3681767.87,670552.2,0.0,561733.36,76926.27,3867512.98,5967339.99,64.81
2049,3867512.98,670552.2,0.0,639961.43,80021.33,3978125.08,6175282.94,64.42
2050,3978125.08,670552.2,0.0,926479.3,79858.35,3802056.33,6119032.68,62.13
2051,3802056.33,670552.2,0.0,450390.92,80285.16,4102502.77,6565234.8,62.49
2052,4102502.77,670552.2,0.0,416380.68,86633.84,4443308.13,7080931.44,62.75
2053,4443308.13,670552.2,0.0,231967.08,95054.69,4976947.95,7821497.92,63.63
2054,4976947.95,670552.2,0.0,34081.05,107480.42,5720899.52,8808020.58,64.95
